city_avg_temp,city_MA,global_avg_temp,global_MA,year
26.66,27.019,8.71,8.564,1932
26.36,26.962,8.34,8.556,1933
26.72,26.921,8.63,8.568,1934
26.98,26.963,8.52,8.567,1935
27.09,26.959,8.55,8.549,1936
26.85,26.919,8.7,8.567,1937
26.68,26.868,8.86,8.59,1938
26.85,26.833,8.76,8.642,1939
26.72,26.802,8.76,8.655,1940
27.74,26.865,8.77,8.66,1941
27.19,26.918,8.73,8.662,1942
26.53,26.935,8.76,8.704,1943
26.85,26.948,8.85,8.726,1944
26.7,26.92,8.58,8.732,1945
26.93,26.904,8.68,8.745,1946
27.07,26.926,8.8,8.755,1947
27.26,26.984,8.75,8.744,1948
26.86,26.985,8.59,8.727,1949
26.88,27.001,8.37,8.688,1950
27.1,26.937,8.63,8.674,1951
27.28,26.946,8.64,8.665,1952
27.44,27.037,8.87,8.676,1953
27.03,27.055,8.56,8.647,1954
26.81,27.066,8.63,8.652,1955
26.79,27.052,8.28,8.612,1956
27.24,27.069,8.73,8.605,1957
27.55,27.098,8.77,8.607,1958
27.38,27.15,8.73,8.621,1959
27.31,27.193,8.58,8.642,1960
27.04,27.187,8.8,8.659,1961
26.73,27.132,8.75,8.67,1962
26.81,27.069,8.86,8.669,1963
27.2,27.086,8.41,8.654,1964
27.21,27.126,8.53,8.644,1965
27.46,27.193,8.6,8.676,1966
27.01,27.17,8.7,8.673,1967
26.9,27.105,8.52,8.648,1968
27.34,27.101,8.6,8.635,1969
26.84,27.054,8.7,8.647,1970
26.71,27.021,8.6,8.627,1971
27.68,27.116,8.5,8.602,1972
27.63,27.198,8.95,8.611,1973
27.01,27.179,8.47,8.617,1974
26.72,27.13,8.74,8.638,1975
27.12,27.096,8.35,8.613,1976
27.32,27.127,8.85,8.628,1977
27.01,27.138,8.69,8.645,1978
27.67,27.171,8.73,8.658,1979
27.7,27.257,8.98,8.686,1980
27.1,27.296,9.17,8.743,1981
27.43,27.271,8.64,8.757,1982
27.35,27.243,9.03,8.765,1983
27.38,27.28,8.69,8.787,1984
27.51,27.359,8.66,8.779,1985
27.71,27.418,8.83,8.827,1986
27.54,27.44,8.99,8.841,1987
27.44,27.483,9.2,8.892,1988
27.06,27.422,8.92,8.911,1989
26.91,27.343,9.23,8.936,1990
27.35,27.368,9.18,8.937,1991
27.24,27.349,8.84,8.957,1992
27.24,27.338,8.87,8.941,1993
27.07,27.307,9.04,8.976,1994
27.24,27.28,9.35,9.045,1995
27.37,27.246,9.04,9.066,1996
27.47,27.239,9.2,9.087,1997
27.87,27.282,9.52,9.119,1998
27.24,27.3,9.29,9.156,1999
27.23,27.332,9.2,9.153,2000
27.56,27.353,9.41,9.176,2001
27.67,27.396,9.57,9.249,2002
27.84,27.456,9.53,9.315,2003
27.23,27.472,9.32,9.343,2004
27.49,27.497,9.7,9.378,2005
27.47,27.507,9.53,9.427,2006
27.55,27.515,9.73,9.48,2007
27.45,27.473,9.43,9.471,2008
28.03,27.552,9.51,9.493,2009
27.69,27.598,9.7,9.543,2010
27.41,27.583,9.52,9.554,2011
28.02,27.618,9.51,9.548,2012
28.85,27.719,9.61,9.556,2013
